id,title,description,priority,status,assignee,labels
16,コメントへのコメント機能,"# 概要
要件：
* コメントに対してコメントができる
* 現在地は添付されない
[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=76-2005&mode=design&t=rFUzexVaMU0lhSlp-0)
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",Medium,Product Backlog,,"task,development"
17,コメント一覧表示,"# 概要
要件：
ツイートのコメントアイコン（吹き出しアイコン）をクリックすると表示される
紐づくコメントが日時の降順で表示される
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",Medium,Product Backlog,,"task,development"
18,フォロー一覧表示,"# 概要
要件：
ログインユーザーがフォローしているユーザーの一覧
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",Medium,Product Backlog,,"task,development"
19,フォロワー一覧表示,"# 概要
要件：
ログインユーザーをフォローしているユーザー一覧
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",Medium,Product Backlog,,"task,development"
20,ユーザーホームからフォロー/フォロー解除,"# 概要
要件：
自分以外のユーザーのホーム画面の「フォロー」ボタンをクリックするとフォローできる→「フォロー中」に切り替わる
フォロー状態で「フォロー中」ボタンをクリックするとフォロー解除できる→「フォロー」ボタンに切り替わる
フォローを解除する時には確認モーダルが表示される
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",Medium,Product Backlog,,"task,development"
21,フォロー一覧からフォロー/フォロー解除,"# 概要
要件：
フォロー一覧画面の「フォロー中」ボタンをクリックするとフォロー解除できる→「フォロー」に切り替わる
フォロー解除状態で「フォロー」ボタンをクリックするとフォローできる→「フォロー中」ボタンに切り替わる
フォローを解除する時には確認モーダルが表示される
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",Low,Product Backlog,,"task,development"
22,フォロワー一覧からフォロー/フォロー解除,"# 概要
要件：
フォロワー一覧画面の「フォロー中」ボタンをクリックするとフォロー解除できる→「フォロー」に切り替わる
フォロー解除状態で「フォロー」ボタンをクリックするとフォローできる→「フォロー中」ボタンに切り替わる
フォローを解除する時には確認モーダルが表示される
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",Low,Product Backlog,,"task,development"
23,他ユーザーホーム画面,"# 概要
要件：
自分以外のユーザーのアイコンをクリックすると遷移する画面
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",Low,Product Backlog,,"task,development"
24,いいね機能,"# 概要
要件：
ツイート、返信のハートアイコンをクリックすると、ハートの色がピンクになる（いいね状態）
ハートがピンクの状態で、再度クリックするとハートの色がなくなる（いいね解除）
いいね数はカウントされる
解除したら減る
非同期処理で実装すること（JavaScriptでの実装）
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",Low,Product Backlog,,"task,development"
25,コメント編集機能,"# 概要
要件：
* ツイートへのコメントの編集（ツイートは編集できない仕様のためコメントのみ）
* ペンのマークをクリックすると編集できる
* エンター or 選択解除で編集が確定する
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",Low,Product Backlog,,"task,development"
26,ツイート削除機能,"# 概要
要件：
ツイートを削除する
ツイートのゴミ箱マークをクリックで確認モーダルが表示される
削除すると、紐づくコメントも削除される
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",Low,Product Backlog,,"task,development"
27,コメント削除機能,"# 概要
要件：
コメントを削除する
コメントのゴミ箱マークをクリックで確認モーダルが表示される
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",Low,Product Backlog,,"task,development"
28,設定トグルメニュー,"# 概要
要件：
* サイドバーの設定をクリックすることで表示されるトグルメニューを実装する
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",Low,Product Backlog,,"task,development"
29,アカウント削除機能,"# 概要
要件：
サイドバーの設定をクリック→アカウント削除→確認モーダルが表示→パスワード確認→削除
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",Low,Product Backlog,,"task,development"
30,アカウント情報編集,"# 概要
要件：
サイドバーの設定をクリック→アカウント情報→編集ページに遷移→編集確定
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",Low,Product Backlog,,"task,development"
31,プロフィール編集,"# 概要
要件：
サイドバーのプロフィールをクリック→プロフィール編集モーダルが表示される→編集
画像も変更できる
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",Low,Product Backlog,,"task,development"
