title,body,labels,assignee,milestone,priority,difficulty
"タスク11: TOP上部からの投稿","# 概要

要件：

* TOP上部からツイートを入力し、投稿できる
* 投稿したら一緒に現在地のGoogleMap画面が添付される
* 現在地の取得には外部APIを利用すること（例：Google Maps API）

[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=115-23&mode=design&t=WCt5rxtAIB1Wj5sF-0)

# 完了条件

子課題を全て完了する","",,,medium,Required
"タスク12:サイドバー「ツイートをする」から投稿","# 概要

要件：

* サイドバー「ツイートをする」からツイートを入力し、投稿できる
* 投稿したら一緒に現在地のGoogleMap画面が添付される
* 現在地の取得には外部APIを利用すること（例：Google Maps API）

[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=66-981&mode=design&t=WCt5rxtAIB1Wj5sF-0)

# 完了条件

子課題を全て完了する","",,,medium,Required
"タスク13:ツイートへのコメント","# 概要

要件：

* ツイートに対してコメントができる
* コメントには現在地は添付されない

[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=115-118&mode=design&t=WCt5rxtAIB1Wj5sF-0)

![image][pasted-2023.08.03-22.51.17.png]

# 完了条件

子課題が全て完了すること","",,,medium,Required
"タスク14:コメントへのコメント","# 概要

要件：

* コメントに対してコメントができる
* 現在地は添付されない

[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=76-2005&mode=design&t=rFUzexVaMU0lhSlp-0)

# 完了条件

子課題が全て完了すること","",,,medium,Required
"タスク15:ツイートへのコメント一覧","# 概要

要件：

* ツイートのコメントアイコン（吹き出しアイコン）をクリックすると表示される
* 紐づくコメントが日時の降順で表示される

[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=76-2005&mode=design&t=WCt5rxtAIB1Wj5sF-0)

# 完了条件

子課題が全て完了すること","",,,medium,Required
"タスク16:フォローしているユーザー一覧","# 概要

要件：

* ログインユーザーがフォローしているユーザーの一覧

[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=58-334&mode=design&t=WCt5rxtAIB1Wj5sF-0)

# 完了条件

子課題が全て完了すること","",,,medium,Required
"タスク17:フォロワー一覧","# 概要

要件：

* ログインユーザーをフォローしているユーザー一覧

[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=81-2292&mode=design&t=WCt5rxtAIB1Wj5sF-0)

# 完了条件

子課題が全て完了すること","",,,medium,Required
"タスク18:他ユーザーホームからフォロー、解除","# 概要

要件：

* 自分以外のユーザーの[ホーム画面](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=66-1624&mode=design&t=WCt5rxtAIB1Wj5sF-0)の「フォロー」ボタンをクリックするとフォローできる→「フォロー中」に切り替わる
* フォロー状態で「フォロー中」ボタンをクリックするとフォロー解除できる→「フォロー」ボタンに切り替わる
* フォローを解除する時には[確認モーダル](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=81-2486&mode=design&t=WCt5rxtAIB1Wj5sF-0)が表示される

# 完了条件

子課題が全て完了する","",,,medium,Required
"タスク19:フォロー一覧からフォロー、解除","# 概要

要件：

* [フォロー一覧画面](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=58-334&mode=design&t=WCt5rxtAIB1Wj5sF-0)の「フォロー中」ボタンをクリックするとフォロー解除できる→「フォロー」に切り替わる
* フォロー解除状態で「フォロー」ボタンをクリックするとフォローできる→「フォロー中」ボタンに切り替わる
* フォローを解除する時には[確認モーダル](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=81-2486&mode=design&t=WCt5rxtAIB1Wj5sF-0)が表示される

# 完了条件

子課題を全て完了する","",,,medium,Required
"タスク20:フォロワー一覧からフォロー、解除","# 概要

要件：

* [フォロワー一覧画面](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=81-2292&mode=design&t=WCt5rxtAIB1Wj5sF-0)の「フォロー中」ボタンをクリックするとフォロー解除できる→「フォロー」に切り替わる
* フォロー解除状態で「フォロー」ボタンをクリックするとフォローできる→「フォロー中」ボタンに切り替わる
* フォローを解除する時には[確認モーダル](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=81-2486&mode=design&t=WCt5rxtAIB1Wj5sF-0)が表示される

# 完了条件

子課題を全て完了する","",,,medium,Required
"タスク21:自分以外のユーザーのホーム","# 概要

要件：

* 自分以外のユーザーのアイコンをクリックすると遷移する画面

[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=66-1624&mode=design&t=WCt5rxtAIB1Wj5sF-0)

# 完了条件

子課題を全て完了する","",,,medium,Required
"タスク22:いいね、いいね取り消し","# 概要

要件：

* ツイート、返信のハートアイコンをクリックすると、ハートの色がピンクになる（いいね状態）
* ハートがピンクの状態で、再度クリックするとハートの色がなくなる（いいね解除）
* いいね数はカウントされる
* 解除したら減る
* 非同期処理で実装すること（JQueryではなくJavaScriptでの実装を推奨）

[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=41-463&mode=design&t=WCt5rxtAIB1Wj5sF-0)

# 完了条件

子課題を全て完了する","",,,medium,Required
"タスク23:コメント編集","# 概要

要件：
* ツイートへのコメントの編集（ツイートは編集できない仕様のためコメントのみ）
* ペンのマークをクリックすると編集できる
* エンター or 選択解除で編集が確定する

[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=66-798&mode=design&t=QrpiPJD9b2QN8iet-0)

# 完了条件

子課題が全て完了する","",,,medium,Optional
"タスク24:ツイート削除","# 概要

要件：

* ツイートを削除する
* ツイートのゴミ箱マークをクリックで確認モーダルが表示される
* 削除すると、紐づくコメントも削除される

[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=58-980&mode=design&t=b6ZlLFIYKdS56SVZ-0)

# 完了条件

子課題が全て完了する","",,,medium,Optional
"タスク25:コメント削除","# 概要

要件：

* コメントを削除する
* コメントのゴミ箱マークをクリックで確認モーダルが表示される

[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=58-980&mode=design&t=b6ZlLFIYKdS56SVZ-0)

# 完了条件

子課題を全て完了する","",,,medium,Optional
"タスク26:サイドバー設定→トグルモーダル","# 概要

要件：
* サイドバーの設定をクリックすることで表示されるトグルメニューを実装する

[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=63-272&mode=design&t=b6ZlLFIYKdS56SVZ-0)


# 完了条件

子課題が全て完了する","",,,medium,Challenge
"タスク27:アカウント削除","# 概要

要件：

* サイドバーの設定をクリック→アカウント削除→[確認モーダル](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=63-221&mode=design&t=LDa030TlObTolIhe-4)が表示→[パスワード確認](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=63-628&mode=design&t=LDa030TlObTolIhe-4)→削除

# 完了条件

子課題が全て完了する","",,,medium,Challenge
"タスク28:アカウント編集","# 概要

要件：

* サイドバーの設定をクリック→アカウント情報→[編集ページ](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=2603-18&mode=design&t=b6ZlLFIYKdS56SVZ-0)に遷移→編集確定

# 完了条件

子課題が全て完了する","",,,medium,Challenge
"タスク29:プロフィール編集","# 概要

要件：

* サイドバーのプロフィールをクリック→[プロフィール編集モーダル](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=58-516&mode=design&t=b6ZlLFIYKdS56SVZ-0)が表示される→編集
* 画像も変更できる

# 完了条件

子課題を全て完了する","",,,medium,Challenge
"タスク30:成果発表会準備","# 概要
## 成果発表会とは
作成したイマココSNSと、チーム開発で学んだことをPRUMの社員に発表する会を開催する。
[6th_イマココSNS成果発表会](https://drive.google.com/drive/folders/1k3OT_zxW0qEBP-YV11KggOTwIHz3kZRA)
※動画上では勉強会内で発表を行なっていますが、運用が変わり、勉強会とは切り離し成果物発表会単体で行うようになりました。

## 日時
* 平日19:00-21:00の間で15分

## 場所
* GoogleMeets
  * 参加者: all@prum.jp

## 参加メンバー
* 開発メンバー
* 成果発表会参加者

## 開発チームが準備すること
* 成果発表会の日程調整
    * 開発チームで話し合い、Slackの`#all-全社`チャンネルで全社員向けに告知する

* 発表スライド
    * 例)
        * [6th](https://drive.google.com/drive/folders/1k3OT_zxW0qEBP-YV11KggOTwIHz3kZRA)
        * [7th](https://docs.google.com/presentation/d/1Lmrxn2Z50YybbGyS-ajdf4oiE7kEIzN3/edit#slide=id.p1)

# 完了条件

* 成果発表会を開催する。","",,,medium,Required
